job,years,education,salary,company,scale,job_url
公安大数据解决方案副总经理,5-10年,本科,30000,九次方<b>大数据</b>信息集团有限公司,500-999人,http://jobs.zhaopin.com/355609911255118.htm
大数据产品创新副总经理,5-10年,本科,40000,九次方<b>大数据</b>信息集团有限公司,500-999人,http://jobs.zhaopin.com/355609911255293.htm
大数据产品营销专委会主任,5-10年,本科,40000,九次方<b>大数据</b>信息集团有限公司,500-999人,http://jobs.zhaopin.com/355609911255295.htm
大数据技术研发副总经理,5-10年,本科,40000,九次方<b>大数据</b>信息集团有限公司,500-999人,http://jobs.zhaopin.com/355609911255294.htm
大数据售前副总经理,5-10年,本科,40000,九次方<b>大数据</b>信息集团有限公司,500-999人,http://jobs.zhaopin.com/355609911255292.htm
大数据开发学徒,不限,本科,7000,北京菜鸟在线教育科技有限公司,20-99人,http://jobs.zhaopin.com/233139137252194.htm
大数据工程师,5-10年,本科,0,海尔集团公司,10000人以上,http://jobs.zhaopin.com/121066847315366.htm
大数据销售总监,3-5年,本科,17500,贵阳<b>大数据</b>交易所有限责任公司,100-499人,http://jobs.zhaopin.com/260303439250131.htm
大数据软件设计师,3-5年,本科,9000,北京旋极伏羲<b>大数据</b>技术有限公司,500-999人,http://jobs.zhaopin.com/365280436250021.htm
架构设计高级工程师（大数据）,5-10年,本科,40000,福建新大陆软件工程有限公司,1000-9999人,http://jobs.zhaopin.com/142331073251174.htm
大数据技术助理工程师,1-3年,本科,0,中银金融商务有限公司,1000-9999人,http://jobs.zhaopin.com/194779618250422.htm
大数据技术工程师,3-5年,本科,0,中银金融商务有限公司,1000-9999人,http://jobs.zhaopin.com/194779618250421.htm
大数据解决方案架构师,5-10年,本科,0,华为技术有限公司,10000人以上,http://jobs.zhaopin.com/000542945276293.htm
大数据开发工程师 [北京],3-5年,本科,25000,深圳市源极光科技有限公司,20-99人,http://jobs.zhaopin.com/562114535250100.htm
大数据总监,1-3年,硕士,25000,泛测(北京)环境科技有限公司,20-99人,http://jobs.zhaopin.com/338692835250042.htm
高级大数据开发工程师,3-5年,本科,20000,北京世纪高通科技有限公司,100-499人,http://jobs.zhaopin.com/138826768251206.htm
大数据技术经理,3-5年,不限,22500,北京八维教育集团,1000-9999人,http://jobs.zhaopin.com/121017111253804.htm
大数据研发工程师,5-10年,本科,30000,北京明特量化信息技术有限公司,500-999人,http://jobs.zhaopin.com/325098280250196.htm
云计算大数据实习生【定岗直招】（零基础）,无经验,大专,7000,北京欣如信科技有限公司,1000-9999人,http://jobs.zhaopin.com/567369733250086.htm
云计算大数据实习生+应往届,无经验,大专,7000,北京欣如信科技有限公司,1000-9999人,http://jobs.zhaopin.com/567369733250090.htm
转行云计算大数据实习生+年终奖+应往届,无经验,大专,7000,北京欣如信科技有限公司,1000-9999人,http://jobs.zhaopin.com/567369733250084.htm
大数据研发工程师,1-3年,本科,30000,北京世纪好未来教育科技有限公司,10000人以上,http://jobs.zhaopin.com/602273321267396.htm
大数据项目经理,5-10年,本科,26500,北京八维研修学院,1000-9999人,http://jobs.zhaopin.com/187965628251105.htm
前端开发工程师（大数据平台方向）,1-3年,本科,11500,北京世纪高通科技有限公司,100-499人,http://jobs.zhaopin.com/138826768251189.htm
大数据开发工程师,3-5年,本科,12500,北京航天数据股份有限公司,100-499人,http://jobs.zhaopin.com/412272383250010.htm
大数据架构师,5-10年,本科,40000,中网数据(北京)股份有限公司,100-499人,http://jobs.zhaopin.com/335272932250251.htm
产品经理（大数据方向）,3-5年,本科,17500,亿海蓝(北京)数据技术股份公司,100-499人,http://jobs.zhaopin.com/120568168250766.htm
大数据工程师,1-3年,本科,9000,北京亿赛通科技发展有限责任公司,100-499人,http://jobs.zhaopin.com/156227629252245.htm
应届生+大数据开发实习生（可培养）,无经验,不限,5000,山东文辉软件服务外包有限公司,500-999人,http://jobs.zhaopin.com/506070230253870.htm
测试工程师-大数据,1-3年,本科,9000,北京天融信科技有限公司,1000-9999人,http://jobs.zhaopin.com/000327562253045.htm
咨询经理（大数据方向）,5-10年,本科,23500,同方股份有限公司,10000人以上,http://jobs.zhaopin.com/120155269261519.htm
大数据分析工程师,不限,本科,9000,北京外企德科人力资源服务上海有限公司,1000-9999人,http://jobs.zhaopin.com/138117190282249.htm
大数据开发工程师,1-3年,本科,30000,北京金山云网络技术有限公司,1000-9999人,http://jobs.zhaopin.com/608869229251785.htm
工业大数据技术预先研究员,3-5年,硕士,12500,航天云网科技发展有限责任公司,1000-9999人,http://jobs.zhaopin.com/283771033250836.htm
云计算／大数据开发助理（0基础转行可投）,不限,大专,5000,北京华信智原教育技术有限公司,100-499人,http://jobs.zhaopin.com/134503487250663.htm
大数据研发工程师,不限,本科,20000,北京思路创新科技有限公司,100-499人,http://jobs.zhaopin.com/148167610251361.htm
高级产品经理（大数据平台方向）,5-10年,本科,22500,北京金山云网络技术有限公司,1000-9999人,http://jobs.zhaopin.com/608869229251812.htm
大数据产品经理,1-3年,本科,25000,大唐移动通信设备有限公司,1000-9999人,http://jobs.zhaopin.com/174786810267735.htm
大数据高级研发工程师,3-5年,本科,17500,北京天融信科技有限公司,1000-9999人,http://jobs.zhaopin.com/000327562252791.htm
大数据技术支持工程师,不限,本科,17500,北京航天智造科技发展有限公司,100-499人,http://jobs.zhaopin.com/278682437250078.htm
高级测试工程师-大数据,3-5年,本科,12000,北京天融信科技有限公司,1000-9999人,http://jobs.zhaopin.com/000327562253046.htm
高级大数据开发工程师,3-5年,不限,27500,北京鼎阅广告传媒有限责任公司,100-499人,http://jobs.zhaopin.com/419073231250065.htm
大数据研发工程师,1-3年,本科,13000,北京天融信科技有限公司,1000-9999人,http://jobs.zhaopin.com/000327562252790.htm
JAVA大数据助理（包住+餐补）,不限,大专,5000,北京华信智原教育技术有限公司,100-499人,http://jobs.zhaopin.com/134503487250842.htm
java软件开发 大数据开发 定岗实习+转正,不限,大专,12500,北京华信智原教育技术有限公司,100-499人,http://jobs.zhaopin.com/134503487250694.htm
